Report Date,County,County FIP,Medicaid Eligible,Medicaid Served,Medicaid Reimbursed
2019-03-31,VAN BUREN,19177,1426,1520,928395
2019-03-31,WEBSTER,19187,9601,10259,6604709
2019-03-31,STORY,19169,9482,10337,7080370
2019-03-31,WAPELLO,19179,10611,11279,7135009
2019-03-31,TAMA,19171,3669,3908,2424112
2019-03-31,WAYNE,19185,1290,1457,897646
2019-03-31,WORTH,19195,1244,1366,789880
2019-03-31,WOODBURY,19193,28982,30777,17984824
2019-03-31,TAYLOR,19173,1250,1353,738998
2019-03-31,WRIGHT,19197,2805,2975,1965288
2019-03-31,WASHINGTON,19183,3952,4320,2998561
2019-03-31,WINNESHIEK,19191,2206,2425,1815420
2019-03-31,UNION,19175,2998,3280,2130510
2019-03-31,WINNEBAGO,19189,1754,2024,1330321
2019-03-31,WARREN,19181,6530,7145,4932233
2019-03-31,MUSCATINE,19139,10292,11032,6656445
2019-03-31,ADAIR,19001,1364,1465,1060644
2019-03-31,BENTON,19011,3895,4184,2812900
2019-03-31,BUENA VISTA,19021,4456,4800,2619952
2019-03-31,LINN,19113,44526,47387,30864001
2019-03-31,HARRISON,19085,2907,3210,2269944
2019-03-31,DALLAS,19049,9076,9884,6137341
2019-03-31,GRUNDY,19075,1452,1601,907110
2019-03-31,DAVIS,19051,1482,1589,1010360
2019-03-31,JONES,19105,3445,3674,2598144
2019-03-31,CASS,19029,3137,3301,2511878
2019-03-31,CLAY,19041,3173,3402,2439160
2019-03-31,IDA,19093,1218,1311,836048
2019-03-31,LOUISA,19115,2193,2409,1353614
2019-03-31,POWESHIEK,19157,2742,3042,1906714
2019-03-31,DICKINSON,19059,2380,2573,1730666
2019-03-31,MAHASKA,19123,4611,4996,3402838
2019-03-31,ADAMS,19003,723,818,592690
2019-03-31,PLYMOUTH,19149,3512,3836,2640935
2019-03-31,BLACK HAWK,19013,29327,30992,20352896
2019-03-31,MADISON,19121,2224,2489,1557102
2019-03-31,DES MOINES,19057,10873,11335,6810015
2019-03-31,GUTHRIE,19077,1864,2033,1265826
2019-03-31,O'BRIEN,19141,2379,2632,2388366
2019-03-31,CLAYTON,19043,2647,2925,2398653
2019-03-31,FLOYD,19067,3591,3939,2682261
2019-03-31,MITCHELL,19131,1481,1633,1109508
2019-03-31,BUCHANAN,19019,3255,3589,2447720
2019-03-31,KEOKUK,19107,2128,2287,1479284
2019-03-31,POTTAWATTAMIE,19155,24896,26767,17764361
2019-03-31,CARROLL,19027,3753,4166,3621855
2019-03-31,HARDIN,19083,3258,3637,2163079
2019-03-31,PALO ALTO,19147,1637,1814,1524075
2019-03-31,ALLAMAKEE,19005,2640,2937,1781716
2019-03-31,FAYETTE,19065,4512,4902,3399851
2019-03-31,FRANKLIN,19069,1934,2230,1296440
2019-03-31,HUMBOLDT,19091,1521,1677,1310223
2019-03-31,MILLS,19129,2734,2943,3158204
2019-03-31,CHEROKEE,19035,1959,2136,1505363
2019-03-31,CLINTON,19045,11992,12903,8062120
2019-03-31,HOWARD,19089,1430,1542,884663
2019-03-31,LYON,19119,1448,1558,891336
2019-03-31,DELAWARE,19055,2351,2592,1991417
2019-03-31,OSCEOLA,19143,946,1030,642994
2019-03-31,CALHOUN,19025,1790,1893,1291904
2019-03-31,KOSSUTH,19109,2252,2508,1803942
2019-03-31,JASPER,19099,7030,7596,5109141
2019-03-31,SCOTT,19163,40932,42677,26184052
2019-03-31,POLK,19153,104577,110983,68623431
2019-03-31,BOONE,19015,4243,4611,3780468
2019-03-31,HAMILTON,19079,2551,2764,1718885
2019-03-31,MONONA,19133,2038,2182,1427523
2019-03-31,APPANOOSE,19007,3537,3710,2581805
2019-03-31,SAC,19161,1599,1725,1142409
2019-03-31,FREMONT,19071,1552,1689,1020822
2019-03-31,JACKSON,19097,3802,4172,2820383
2019-03-31,MARSHALL,19127,10078,10874,8257699
2019-03-31,CHICKASAW,19037,1786,1969,1389545
2019-03-31,JEFFERSON,19101,3673,3922,2569239
2019-03-31,MONROE,19135,1517,1689,1088881
2019-03-31,CERRO GORDO,19033,9404,10345,7851337
2019-03-31,EMMET,19063,1820,1939,1254404
2019-03-31,BUTLER,19023,2351,2591,1715633
2019-03-31,PAGE,19145,3529,3769,2466066
2019-03-31,HENRY,19087,4399,4691,2857414
2019-03-31,HANCOCK,19081,1574,1759,1122895
2019-03-31,DECATUR,19053,2010,2148,1274871
2019-03-31,LEE,19111,8873,9321,6326840
2019-03-31,CRAWFORD,19047,3667,4089,2451830
2019-03-31,BREMER,19017,2765,2995,1990110
2019-03-31,POCAHONTAS,19151,1399,1495,907285
2019-03-31,LUCAS,19117,2110,2250,1426363
2019-03-31,SHELBY,19165,2070,2236,1697604
2019-03-31,GREENE,19073,1955,2135,1451961
2019-03-31,DUBUQUE,19061,17248,19658,13142596
2019-03-31,JOHNSON,19103,19680,21109,13689125
2019-03-31,CLARKE,19039,2291,2517,1588087
2019-03-31,AUDUBON,19009,1081,1165,768904
2019-03-31,RINGGOLD,19159,886,969,755250
2019-03-31,IOWA,19095,2379,2644,1611664
2019-03-31,CEDAR,19031,2498,2657,1608912
2019-03-31,MONTGOMERY,19137,2813,2982,1917930
2019-03-31,MARION,19125,5040,5544,3796854
2019-03-31,SIOUX,19167,4071,4539,3140777
2019-04-30,MUSCATINE,19139,10345,11146,6513373
2019-04-30,ADAIR,19001,1363,1511,1055951
2019-04-30,VAN BUREN,19177,1408,1532,946930
2019-04-30,BENTON,19011,3945,4253,2903904
2019-04-30,BUENA VISTA,19021,4466,4915,2787351
2019-04-30,LINN,19113,44819,48219,31007629
2019-04-30,HARRISON,19085,2912,3235,2295443
2019-04-30,DALLAS,19049,9148,10093,6306150
2019-04-30,GRUNDY,19075,1479,1637,994227
2019-04-30,DAVIS,19051,1504,1623,934716
2019-04-30,JONES,19105,3484,3768,2374915
2019-04-30,CASS,19029,3148,3366,2376943
2019-04-30,CLAY,19041,3169,3471,2259077
2019-04-30,IDA,19093,1213,1333,937969
2019-04-30,WEBSTER,19187,9612,10413,6893400
2019-04-30,LOUISA,19115,2187,2449,1396219
2019-04-30,POWESHIEK,19157,2749,3103,1998264
2019-04-30,DICKINSON,19059,2399,2604,1838635
2019-04-30,STORY,19169,9560,10516,6922798
2019-04-30,MAHASKA,19123,4622,5040,3288407
2019-04-30,WAPELLO,19179,10768,11588,7263390
2019-04-30,ADAMS,19003,733,838,579639
2019-04-30,PLYMOUTH,19149,3523,3922,2592188
2019-04-30,BLACK HAWK,19013,29448,31542,21034588
2019-04-30,MADISON,19121,2232,2532,1541939
2019-04-30,TAMA,19171,3658,3994,2517744
2019-04-30,DES MOINES,19057,10986,11580,7012874
2019-04-30,GUTHRIE,19077,1862,2062,1374281
2019-04-30,O'BRIEN,19141,2407,2643,2271332
2019-04-30,CLAYTON,19043,2658,2996,2345005
2019-04-30,FLOYD,19067,3565,3969,2707393
2019-04-30,WAYNE,19185,1306,1486,949351
2019-04-30,MITCHELL,19131,1491,1676,1253828
2019-04-30,WORTH,19195,1247,1399,831575
2019-04-30,BUCHANAN,19019,3257,3619,2366690
2019-04-30,KEOKUK,19107,2158,2355,1523702
2019-04-30,POTTAWATTAMIE,19155,25065,27162,17680773
2019-04-30,WOODBURY,19193,29108,31230,18759616
2019-04-30,CARROLL,19027,3747,4188,3342004
2019-04-30,HARDIN,19083,3302,3733,2497737
2019-04-30,PALO ALTO,19147,1654,1864,1443913
2019-04-30,ALLAMAKEE,19005,2630,2967,1714805
2019-04-30,FAYETTE,19065,4516,4959,3498590
2019-04-30,FRANKLIN,19069,1951,2292,1347908
2019-04-30,HUMBOLDT,19091,1543,1727,1194868
2019-04-30,MILLS,19129,2753,3005,3062697
2019-04-30,CHEROKEE,19035,1968,2186,1519334
2019-04-30,CLINTON,19045,12080,13061,8120571
2019-04-30,HOWARD,19089,1435,1588,939207
2019-04-30,LYON,19119,1485,1601,844156
2019-04-30,DELAWARE,19055,2379,2644,1820409
2019-04-30,OSCEOLA,19143,960,1092,594093
2019-04-30,CALHOUN,19025,1796,1928,1284235
2019-04-30,KOSSUTH,19109,2284,2566,1738134
2019-04-30,JASPER,19099,7046,7666,5217945
2019-04-30,TAYLOR,19173,1268,1411,809190
2019-04-30,SCOTT,19163,41064,43334,27499845
2019-04-30,POLK,19153,105352,112737,70698575
2019-04-30,BOONE,19015,4212,4704,4039877
2019-04-30,HAMILTON,19079,2570,2787,1822938
2019-04-30,WRIGHT,19197,2794,3039,1887850
2019-04-30,WASHINGTON,19183,3952,4377,3032119
2019-04-30,MONONA,19133,2034,2204,1298744
2019-04-30,APPANOOSE,19007,3554,3769,2723750
2019-04-30,SAC,19161,1614,1740,1168265
2019-04-30,FREMONT,19071,1573,1718,1080591
2019-04-30,JACKSON,19097,3825,4237,2794810
2019-04-30,MARSHALL,19127,10131,10977,9085324
2019-04-30,CHICKASAW,19037,1797,1990,1376641
2019-04-30,WINNESHIEK,19191,2208,2479,1783449
2019-04-30,JEFFERSON,19101,3713,3995,2355629
2019-04-30,MONROE,19135,1516,1731,948265
2019-04-30,CERRO GORDO,19033,9403,10462,7822014
2019-04-30,EMMET,19063,1817,2010,1206319
2019-04-30,BUTLER,19023,2364,2629,1718907
2019-04-30,PAGE,19145,3581,3927,2548263
2019-04-30,HENRY,19087,4402,4738,2705759
2019-04-30,UNION,19175,3017,3354,2165044
2019-04-30,HANCOCK,19081,1593,1784,1131558
2019-04-30,DECATUR,19053,2032,2209,1398965
2019-04-30,LEE,19111,8923,9416,6100188
2019-04-30,CRAWFORD,19047,3702,4200,2325659
2019-04-30,BREMER,19017,2748,3019,2087887
2019-04-30,POCAHONTAS,19151,1406,1545,968591
2019-04-30,LUCAS,19117,2078,2282,1467905
2019-04-30,SHELBY,19165,2089,2279,1633164
2019-04-30,GREENE,19073,1937,2163,1329274
2019-04-30,DUBUQUE,19061,17276,20013,13322889
2019-04-30,JOHNSON,19103,19775,21419,13254170
2019-04-30,CLARKE,19039,2311,2549,1688057
2019-04-30,AUDUBON,19009,1098,1199,751065
2019-04-30,RINGGOLD,19159,881,983,802042
2019-04-30,WINNEBAGO,19189,1753,2050,1288337
2019-04-30,IOWA,19095,2392,2702,1608840
2019-04-30,CEDAR,19031,2489,2735,1684262
2019-04-30,MONTGOMERY,19137,2821,3034,1914922
2019-04-30,MARION,19125,5084,5638,3729389
2019-04-30,WARREN,19181,6569,7252,4860013
2019-04-30,SIOUX,19167,4080,4600,3115489
2019-06-30,MUSCATINE,19139,10306,7257,2416870
2019-05-31,GUTHRIE,19077,1871,1799,1229540
2019-05-31,ADAMS,19003,714,694,623763
2019-06-30,ADAIR,19001,1345,963,427301
2019-06-30,VAN BUREN,19177,1399,1035,391284
2019-05-31,O'BRIEN,19141,2403,2364,2372223
2019-05-31,CEDAR,19031,2499,2414,1536075
2019-06-30,BENTON,19011,3913,2865,1501819
2019-05-31,CLAY,19041,3132,3071,2244102
2019-06-30,BUENA VISTA,19021,4309,2898,1299245
2019-06-30,LINN,19113,44787,33114,12207627
2019-05-31,HARRISON,19085,2941,2848,2134907
2019-05-31,KEOKUK,19107,2143,2081,1616270
2019-05-31,PLYMOUTH,19149,3559,3462,2395170
2019-05-31,TAMA,19171,3647,3661,2367527
2019-06-30,HARRISON,19085,2920,2230,1043318
2019-06-30,DALLAS,19049,9180,6548,2869539
2019-06-30,GRUNDY,19075,1459,1037,420520
2019-06-30,DAVIS,19051,1504,1092,535099
2019-06-30,JONES,19105,3495,2504,1073884
2019-06-30,CASS,19029,3163,2333,1030695
2019-05-31,STORY,19169,9476,9253,7054189
2019-05-31,BUENA VISTA,19021,4356,4283,2606001
2019-05-31,DAVIS,19051,1507,1461,926533
2019-05-31,WOODBURY,19193,29136,28553,17806717
2019-05-31,LOUISA,19115,2187,2144,1430172
2019-05-31,WAPELLO,19179,10726,10338,7231755
2019-06-30,CLAY,19041,3126,2293,1018614
2019-06-30,IDA,19093,1224,882,380715
2019-06-30,WEBSTER,19187,9584,7158,2361414
2019-05-31,JONES,19105,3492,3407,2337612
2019-06-30,LOUISA,19115,2170,1582,632208
2019-06-30,POWESHIEK,19157,2758,2127,1149072
2019-06-30,DICKINSON,19059,2378,1779,853443
2019-05-31,MILLS,19129,2762,2674,2877639
2019-05-31,RINGGOLD,19159,899,875,836512
2019-05-31,BLACK HAWK,19013,29413,28561,20179078
2019-05-31,CLAYTON,19043,2666,2579,2356827
2019-06-30,STORY,19169,9464,7171,3477109
2019-05-31,IOWA,19095,2399,2350,1626853
2019-06-30,MAHASKA,19123,4592,3454,1374806
2019-05-31,FAYETTE,19065,4525,4383,3378225
2019-06-30,WAPELLO,19179,10733,7937,2544905
2019-05-31,FLOYD,19067,3537,3448,2416851
2019-05-31,CERRO GORDO,19033,9356,8964,7322846
2019-06-30,ADAMS,19003,732,529,264588
2019-06-30,PLYMOUTH,19149,3578,2594,1330478
2019-06-30,BLACK HAWK,19013,29258,21443,8755761
